Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3475par23_S109_L002_R2_001_fastq_gz	3475par23_S109_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	526939.0	76.2 Mbp	0.0	35-150	51.0	11.515374644882995	144.3646437253648	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3475par23_S109_L003_R1_001_fastq_gz	3475par23_S109_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	583478.0	84.4 Mbp	0.0	35-150	52.0	8.556620815180692	144.31063896153753	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3475par23_S109_L003_R2_001_fastq_gz	3475par23_S109_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	583478.0	84.4 Mbp	0.0	35-150	52.0	10.905466872786977	144.38823571754205	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3475par23_S109_L004_R1_001_fastq_gz	3475par23_S109_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	540348.0	78.1 Mbp	0.0	35-150	52.0	8.770829169350122	144.23029603144641	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3475par23_S109_L004_R2_001_fastq_gz	3475par23_S109_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	540348.0	78.1 Mbp	0.0	35-150	51.0	11.474827333496192	144.33879462864672	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3476par23_S110_L001_R1_001_fastq_gz	3476par23_S110_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	805633.0	118.8 Mbp	0.0	35-150	51.0	6.972653801420746	147.1858749579523	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3476par23_S110_L001_R2_001_fastq_gz	3476par23_S110_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	805633.0	118.9 Mbp	0.0	35-150	51.0	9.593450119347146	147.22382399926516	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3476par23_S110_L002_R1_001_fastq_gz	3476par23_S110_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	753537.0	111.2 Mbp	0.0	35-150	51.0	7.058843825850622	147.23877128793941	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3476par23_S110_L002_R2_001_fastq_gz	3476par23_S110_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	753537.0	111.2 Mbp	0.0	35-150	51.0	9.75745052996734	147.30591331281676	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3476par23_S110_L003_R1_001_fastq_gz	3476par23_S110_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	834433.0	123.1 Mbp	0.0	35-150	51.0	6.870773327517009	147.19252833960306	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
